Timestamp,Thermocouple,SmokerSetpoint,PidOutput,PidError,RelayState,Status
2025-09-19 15:08:49,228.2,250,11232,N/A,0,OK
2025-09-19 15:09:10,230,250,11232,N/A,100,OK
2025-09-19 15:09:31,230,250,11232,N/A,100,OK
2025-09-19 15:09:53,231.8,250,11232,N/A,100,OK
2025-09-19 15:10:14,233.6,250,11232,N/A,100,OK
2025-09-19 15:10:35,231.8,250,11232,N/A,100,OK
2025-09-19 15:10:56,233.6,250,11232,N/A,100,OK
2025-09-19 15:11:17,237.2,250,11232,12.8,N/A,OK
2025-09-19 15:11:39,240.8,250,11232,9.2,0,OK
2025-09-19 15:12:00,240.8,250,11232,9.2,100,OK
2025-09-19 15:12:19,242.6,250,11232,N/A,100,OK
2025-09-19 15:12:41,242.6,250,11232,N/A,0,OK
2025-09-19 15:13:02,240.8,250,11232,N/A,100,OK
2025-09-19 15:13:23,242.6,250,11232,N/A,100,OK
2025-09-19 15:13:44,244.4,250,11232,N/A,100,OK
2025-09-19 15:14:05,244.4,250,11232,N/A,100,OK
2025-09-19 15:14:26,248,250,11232,N/A,100,OK
2025-09-19 15:14:48,246.2,250,11232,3.8,100,OK
2025-09-19 15:15:08,246.2,250,11232,3.8,N/A,OK
2025-09-19 15:15:29,246.2,250,11232,N/A,100,OK
2025-09-19 15:15:50,249.8,250,11232,N/A,100,OK
2025-09-19 15:16:11,246.2,250,11232,N/A,100,OK
2025-09-19 15:16:33,249.8,250,11232,N/A,0,OK
2025-09-19 15:16:54,249.8,250,11232,N/A,100,OK
2025-09-19 15:17:15,249.8,250,11232,N/A,100,OK
2025-09-19 15:17:36,251.6,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:17:57,251.6,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:18:18,253.4,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:18:40,251.6,250,11232,-1.6,100,PID_ANOMALY
2025-09-19 15:19:00,255.2,250,11232,-5.2,100,PID_ANOMALY
2025-09-19 15:19:20,255.2,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:19:41,255.2,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:20:02,257,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:20:24,257,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:20:45,258.8,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:21:06,257,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:21:27,260.6,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:21:49,260.6,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:22:10,258.8,250,11232,-8.8,100,PID_ANOMALY
2025-09-19 15:22:30,260.6,250,11232,-10.6,100,PID_ANOMALY
2025-09-19 15:22:51,264.2,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:23:13,264.2,250,11232,N/A,0,PID_ANOMALY
2025-09-19 15:23:34,266,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:23:55,266,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:24:16,267.8,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:24:37,266,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:24:58,267.8,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:25:20,269.6,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:25:41,269.6,250,11232,N/A,100,PID_ANOMALY
2025-09-19 15:26:02,271.4,250,11232,-21.4,0,TEMP_HIGH
2025-09-19 15:26:23,271.4,250,11232,-21.4,100,TEMP_HIGH
2025-09-19 15:26:44,273.2,250,11232,-23.2,100,TEMP_HIGH
2025-09-19 15:27:05,275,250,11232,N/A,100,TEMP_HIGH
2025-09-19 15:27:26,275,250,11232,N/A,100,TEMP_HIGH
2025-09-19 15:27:47,278.6,250,11232,N/A,100,TEMP_HIGH
2025-09-19 15:28:08,278.6,250,11232,N/A,100,TEMP_HIGH
2025-09-19 15:28:29,276.8,250,11232,N/A,100,TEMP_HIGH
2025-09-19 15:28:51,282.2,250,11232,N/A,100,TEMP_HIGH
2025-09-19 15:29:12,280.4,250,11232,N/A,100,TEMP_HIGH
2025-09-19 15:29:33,284,250,11232,N/A,100,TEMP_HIGH
2025-09-19 15:29:54,282.2,250,11232,-32.2,0,TEMP_HIGH
2025-09-19 15:30:15,284,250,11232,-34,N/A,TEMP_HIGH
2025-09-19 15:30:36,285.8,250,11232,N/A,100,TEMP_HIGH
2025-09-19 15:30:57,285.8,250,11232,N/A,100,TEMP_HIGH
2025-09-19 15:31:18,284,250,11232,N/A,100,TEMP_HIGH
2025-09-19 15:31:40,284,250,11232,N/A,100,TEMP_HIGH
2025-09-19 15:32:01,285.8,250,11232,N/A,100,TEMP_HIGH
2025-09-19 15:32:22,289.4,250,11232,N/A,100,TEMP_HIGH
2025-09-19 15:32:43,287.6,250,11232,N/A,0,TEMP_HIGH
2025-09-19 15:33:04,287.6,250,11232,N/A,100,TEMP_HIGH
2025-09-19 15:33:26,289.4,250,11232,N/A,100,TEMP_HIGH
2025-09-19 15:33:47,287.6,250,11232,N/A,100,TEMP_HIGH
